Mir3062 	 0.025225125741901753 	 0.0009186062201794105
Snora28 	 0.03755787778762017 	 0.037821157020455576
Il1rl1 	 0.0430839667194747 	 0.0012976921681639177
1700097N02Rik 	 0.06466006289028067 	 0.0403870241455684
Fkbp11 	 0.06501863214897764 	 0.026363797795724803
Lat 	 0.11079888915856795 	 0.012065834607843863
St8sia4 	 0.142714341787055 	 0.023509854555539694
Samsn1 	 0.14922999288992206 	 0.0014236323425272795
Myb 	 0.15223766615040454 	 0.002667876472220794
Gm13157 	 0.1655892381280682 	 0.000628717289121527
Smyd5 	 0.17459645257978024 	 0.006053286818017834
Flna 	 0.17694858447403486 	 0.0028532676137117416
Arap3 	 0.19133686577249312 	 0.023928946470481736
Nefh 	 0.19526804073781617 	 0.008306198822774937
Rcbtb2 	 0.1968823296350972 	 0.013973832108404487
Hmga1 	 0.20241285718511431 	 0.017748974437901056
Slc19a1 	 0.212612098550917 	 0.009412498266796883
St6galnac4 	 0.2160729597660173 	 0.0054540965644798624
Kit 	 0.22331927232516463 	 0.027320619113961372
Lpcat4 	 0.2318488463159958 	 0.033643689758194234
Lgals9 	 0.24123491982962353 	 0.00028353916158642016
Cdk6 	 0.24826650497483665 	 0.013359802953028615
Dlc1 	 0.24895448825932812 	 0.02003509227676078
Gp5 	 0.2515902517678391 	 0.04090835043896091
Etv5 	 0.2517429818822738 	 0.0329667456829076
Serf1 	 0.2528519860298415 	 0.011129414246953994
Ergic1 	 0.2558286477110695 	 0.010780518098885892
Sept9 	 0.25661120651558167 	 0.012808347989681992
Rrp15 	 0.29535895643529386 	 0.007255211731124036
Bzw2 	 0.30011032746958016 	 0.0018104748608142197
Dnmt3b 	 0.3036740072142748 	 0.023285057321603526
Ydjc 	 0.3174662046441339 	 0.01018704160276745
5730408K05Rik 	 0.3219187947661581 	 0.021583914454844765
Bri3bp 	 0.3226864893023415 	 0.0018721170694598987
Sept1 	 0.3262738013849141 	 0.04597111166296893
Ptprcap 	 0.33019470967021425 	 0.016027309733280388
Pdxk 	 0.33228633580531963 	 0.04856323615800959
Hcls1 	 0.3334432206613624 	 0.03784394786182523
Tfap4 	 0.3441033770761659 	 0.005758034469352994
Sigmar1 	 0.3454482619642477 	 0.0018040605030614227
Impa2 	 0.346917201973325 	 0.00875063225493679
Mmp14 	 0.3665897547118009 	 0.043614022821356443
Spn 	 0.37399635582029916 	 0.025740792437184138
Vim 	 0.39840354811871675 	 0.021711658876271064
Casp3 	 0.41042300362399015 	 0.0020955959592975624
Gcsh 	 0.41814372081077295 	 0.03519085047936724
Npm1 	 0.4231021565638459 	 0.018841308314977042
Npm3 	 0.4372143793787402 	 0.040785784591709257
Hmga1-rs1 	 0.443390992200207 	 0.0045333518911876295
Gm11974 	 0.44698291772455206 	 0.022774899792389964
Gpatch4 	 0.4473705940128258 	 0.017493140564291545
Set 	 0.44861700680137523 	 0.0426408137037796
Mettl1 	 0.4565019893137045 	 0.014152651024617461
Hells 	 0.46667490447587145 	 0.03218701613711645
Igsf8 	 0.46897211803506605 	 0.02753338947075202
Def6 	 0.47465222341687 	 0.014605456343115402
Mki67ip 	 0.4800673940322132 	 0.028225306463973365
